rank_worst_to_best,drug_group,n_formulations,n_studies,EE_mean,EE_min,EE_max,EE_SD,pred_rep_mean,MAE_repeated,MAE_single_partition,mean_signed_error,MAE_mean_predictor,delta_vs_mean_predictor,model_worse_than_mean_predictor,is_singleton_drug,bias_direction,EE_quartile,is_top5_worst,is_top5_best,cv_strategy,model,target
1,ketoprofen,2,1,10.56,7.91,13.21,3.7476659402887025,83.33695559523811,72.77695559523812,68.31108499999998,72.77695559523812,54.78568813123904,17.99126746399908,True,False,over-predicts,Q1_lowest_EE,True,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
2,paeonol,1,1,86.26,86.26,86.26,,31.65169852380952,54.608301476190476,49.977046666666666,-54.60830147619048,22.437037735003177,32.1712637411873,True,True,under-predicts,Q4_highest_EE,True,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
3,tretinoin,1,1,98.8,98.8,98.8,,44.41209000000001,54.38790999999999,68.75876666666663,-54.387909999999984,33.32317331973162,21.064736680268368,True,True,under-predicts,Q4_highest_EE,True,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
4,levofloxacin,1,1,15.0,15.0,15.0,,66.86046850000002,51.860468500000025,51.14134833333331,51.860468500000025,49.439038383278685,2.4214301167213392,True,True,over-predicts,Q1_lowest_EE,True,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
5,dexibuprofen,3,1,88.66666666666667,85.1,93.4,4.271221527073184,38.029270888888895,50.63739577777778,23.748262222222237,-50.637395777777776,25.249029857736673,25.38836592004111,True,False,under-predicts,Q4_highest_EE,True,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
6,5-fluorouracil,7,1,7.824285714285715,4.91,8.64,1.4082478136897303,55.49954596258506,47.675260248299345,45.55071142857145,47.67526024829935,57.31602799649645,-9.640767748197106,False,False,over-predicts,Q1_lowest_EE,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
7,rivaroxaban,1,1,91.35,91.35,91.35,,44.27874547619048,47.071254523809515,39.31541333333331,-47.071254523809515,25.478752239672147,21.592502284137367,True,True,under-predicts,Q4_highest_EE,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
8,mometasone-furoate,1,1,90.0,90.0,90.0,,46.35483333333336,43.64516666666664,38.83420000000001,-43.64516666666664,24.7565154699338,18.88865119673284,True,True,under-predicts,Q4_highest_EE,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
9,flurbiprofen,36,3,80.46527777777777,38.46,97.75,13.434279710844432,39.76463193771044,41.422132432659936,20.652261412037042,-40.70064584006734,18.971293566068038,22.450838866591898,True,False,under-predicts,Q4_highest_EE,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
10,gatifloxacin,1,1,34.1,34.1,34.1,,74.109388,40.009388,33.773783333333334,40.009387999999994,30.47889027468227,9.53049772531773,True,True,over-predicts,Q2,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
11,dl-α-tocopherol,2,1,89.265,88.25,90.28,1.435426765808692,51.905108023809525,37.359891976190475,54.758675,-37.359891976190475,24.72534837647532,12.634543599715155,True,False,under-predicts,Q4_highest_EE,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
12,rubitecan,1,1,33.5,33.5,33.5,,69.78564866666675,36.285648666666745,45.02540000000005,36.285648666666745,31.475791936251674,4.809856730415071,True,True,over-predicts,Q2,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
13,oxcarbazepine,2,1,70.96000000000001,69.79,72.13,1.6546298679765135,35.05374945238095,35.90625054761905,25.332706666666684,-35.90625054761905,6.9426003629770925,28.96365018464196,True,False,under-predicts,Q3,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
14,cefpodoxime-proxetil,4,1,35.042500000000004,30.0,40.0,5.441056116845945,69.17318994047618,34.13068994047618,33.838458333333364,34.130689940476174,29.895607596207544,4.235082344268637,True,False,over-predicts,Q2,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
15,coumarin-6,12,1,23.55,3.8,52.3,16.277899127344412,55.24017150793651,32.194004841269845,29.687516666666678,31.690171507936512,42.62701058989513,-10.433005748625284,False,False,over-predicts,Q1_lowest_EE,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
16,atractylodin,1,1,68.0,68.0,68.0,,37.11265683333333,30.887343166666664,22.16644166666665,-30.887343166666668,3.7369553780474307,27.150387788619234,True,True,under-predicts,Q3,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
17,pranoprofen,26,1,70.89846153846155,0.0,90.85,20.49318710055763,48.80966171153846,27.68539591117216,22.14256365995116,-22.08879982692308,17.3144996811855,10.370896229986663,True,False,under-predicts,Q3,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
18,capecitabine,1,1,88.4,88.4,88.4,,61.267035999999976,27.132964000000033,18.11072750000004,-27.13296400000003,23.528536136408682,3.6044278635913507,True,True,under-predicts,Q4_highest_EE,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
19,efavirenz,1,1,85.9,85.9,85.9,,58.82858300000002,27.071416999999986,31.279658730158694,-27.071416999999983,20.536239872859035,6.535177127140951,True,True,under-predicts,Q4_highest_EE,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
20,artemether,5,1,80.86,78.3,86.9,3.5146834850381654,54.191348677777775,26.668651322222225,33.021189388888885,-26.668651322222225,15.998232799940396,10.670418522281828,True,False,under-predicts,Q4_highest_EE,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
21,curcumin,1,1,48.15,48.15,48.15,,74.093163547619,25.943163547619008,28.35554999999993,25.943163547619,16.093945149974235,9.849218397644773,True,True,over-predicts,Q2,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
22,methylene-blue,1,1,3.12,3.12,3.12,,27.23406666666666,24.11406666666666,19.32266666666665,24.11406666666666,61.73621500006426,-37.622148333397604,False,True,over-predicts,Q1_lowest_EE,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
23,docetaxel,1,1,80.5,80.5,80.5,,56.54373546398044,23.956264536019557,15.299505555555555,-23.95626453601956,16.043363805562215,7.912900730457341,True,True,under-predicts,Q4_highest_EE,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
24,finasteride,9,1,88.49222222222221,80.28,98.9,6.127011461099486,65.17709338095239,23.315128841269832,19.25849259259259,-23.31512884126984,24.897135043128564,-1.5820062018587322,False,False,under-predicts,Q4_highest_EE,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
25,piperine,1,1,91.1,91.1,91.1,,68.75508564285714,22.34491435714285,24.69346666666665,-22.344914357142855,26.283036001710922,-3.9381216445680707,False,True,under-predicts,Q4_highest_EE,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
26,paclitaxel,10,3,79.497,52.5,87.8,9.795166665248733,59.81107873333334,22.17800126666665,24.535328499999977,-19.68592126666666,17.032591315447043,5.145409951219609,True,False,under-predicts,Q3,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
27,ropinirole,10,2,56.586,5.4,72.3,19.425726470041962,75.22337140476192,21.24227207142858,20.533668000000002,18.63737140476192,11.458577946894192,9.783694124534389,True,False,over-predicts,Q2,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
28,lamotrigine,28,2,69.73821428571429,52.39,84.87,9.619598841859617,49.35801785884355,20.451533569727875,13.13380106292515,-20.380196426870732,9.57396840029964,10.877565169428236,True,False,under-predicts,Q3,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
29,heptyl-4-hydroxybenzoate,1,1,7.4,7.4,7.4,,27.005753333333338,19.605753333333332,13.662899999999981,19.60575333333334,57.53898428239497,-37.93323094906164,False,True,over-predicts,Q1_lowest_EE,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
30,lopinavir,27,1,66.51481481481481,21.3,95.7,22.40713663277332,74.17335558994709,19.216779699294534,19.257327808641975,7.6585407751322805,19.583023957206684,-0.3662442579121503,False,False,over-predicts,Q3,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
31,3-methoxyxanthone,1,1,41.5,41.5,41.5,,28.358578333333345,19.202501666666656,14.965749999999993,-13.141421666666655,23.64675699121991,-4.444255324553254,False,True,under-predicts,Q2,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
32,acetylpuerarin,1,1,90.51,90.51,90.51,,72.53108928571429,17.978910714285718,15.79175833333332,-17.978910714285718,26.357348699415763,-8.378437985130045,False,True,under-predicts,Q4_highest_EE,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
33,garcinol,3,1,67.45333333333333,53.43,88.32,18.424207807483423,51.32068908994711,17.823277576719573,13.837189814814801,-16.132644243386224,12.904241028442762,4.919036548276811,True,False,under-predicts,Q3,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
34,clobetasol-propionate,26,1,79.88346153846153,15.91,96.82,15.5342740911335,67.25999353113554,17.588563538461543,18.261796538461546,-12.623468007326009,19.27642747049044,-1.6878639320288968,False,False,under-predicts,Q3,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
35,procaine,15,1,31.646666666666665,6.3,62.0,18.20125061113999,37.36683303386243,17.43486373756614,17.01378317460318,5.720166367195758,34.516834480564945,-17.081970742998806,False,False,over-predicts,Q1_lowest_EE,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
36,cisplatin,1,1,45.13,45.13,45.13,,62.339656333333345,17.20965633333334,17.91604999999999,17.209656333333342,20.17785701562109,-2.968200682287751,False,True,over-predicts,Q2,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
37,xanthone,1,1,33.0,33.0,33.0,,50.03121252380952,17.031212523809522,21.913116666666667,17.031212523809522,31.815004224136942,-14.78379170032742,False,True,over-predicts,Q1_lowest_EE,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
38,sparfloxacin,5,1,53.80800000000001,25.18,86.6,22.502921365902694,60.566952495238105,16.10075150476189,12.82444799999999,6.758952495238108,19.671286654012516,-3.570535149250624,False,False,over-predicts,Q2,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
39,rivastigmine,27,1,72.17814814814814,67.39,76.24,2.472760893969823,56.246710232804226,15.931437915343919,10.794481587301616,-15.931437915343919,7.476976240648235,8.454461674695683,True,False,under-predicts,Q3,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
40,rhodamine-b,3,1,40.333333333333336,18.0,56.0,19.85782801147531,38.555474603174595,15.719258730158728,13.08720000000001,-1.7778587301587407,23.902814409533857,-8.183555679375129,False,False,under-predicts,Q2,False,False,"repeated GroupKFold(n_splits=5, shuffle=True) over seeds [0, 1, 2, 3, 4]",Random Forest,EE
